[True, False, True]
Run timestamp: 06102023_193136_23.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '5', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '25000000.0', '--lambda_gene_expr_recon', '15000.0', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_23']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8976; val_auprc_score: 0.9829; val_best_acc_score: 0.9190; val_best_f1_score: 0.9555; train_kl_reg_loss: 24421.1150; train_edge_recon_loss: 3184241.4798; train_gene_expr_recon_loss: 12991246.2580; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 16199908.8521; train_optim_loss: 16199908.8521; val_kl_reg_loss: 25759.0823; val_edge_recon_loss: 3227822.7315; val_gene_expr_recon_loss: 11428076.5833; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 14681658.3827; val_optim_loss: 14681658.3827
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.9060; val_auprc_score: 0.9842; val_best_acc_score: 0.9229; val_best_f1_score: 0.9574; train_kl_reg_loss: 28483.3157; train_edge_recon_loss: 3092857.5113; train_gene_expr_recon_loss: 10946666.4683; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 14068007.2943; train_optim_loss: 14068007.2943; val_kl_reg_loss: 31269.7837; val_edge_recon_loss: 3245469.8503; val_gene_expr_recon_loss: 10649115.9321; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13925855.5309; val_optim_loss: 13925855.5309
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9163; val_auprc_score: 0.9861; val_best_acc_score: 0.9276; val_best_f1_score: 0.9600; train_kl_reg_loss: 32343.7900; train_edge_recon_loss: 3083154.4738; train_gene_expr_recon_loss: 10499602.8569; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 13615101.1266; train_optim_loss: 13615101.1266; val_kl_reg_loss: 34073.9275; val_edge_recon_loss: 3208229.4838; val_gene_expr_recon_loss: 10401086.8704; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13643390.2870; val_optim_loss: 13643390.2870
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9318; val_auprc_score: 0.9888; val_best_acc_score: 0.9362; val_best_f1_score: 0.9647; train_kl_reg_loss: 32347.6808; train_edge_recon_loss: 3069216.5107; train_gene_expr_recon_loss: 10276334.7557; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 13377898.9503; train_optim_loss: 13377898.9503; val_kl_reg_loss: 34267.2466; val_edge_recon_loss: 3169980.9707; val_gene_expr_recon_loss: 10225757.7963; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13430006.0123; val_optim_loss: 13430006.0123
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9358; val_auprc_score: 0.9895; val_best_acc_score: 0.9370; val_best_f1_score: 0.9650; train_kl_reg_loss: 33122.6029; train_edge_recon_loss: 3049459.0424; train_gene_expr_recon_loss: 10094925.7427; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 13177507.3859; train_optim_loss: 13177507.3859; val_kl_reg_loss: 34171.0472; val_edge_recon_loss: 3181284.5687; val_gene_expr_recon_loss: 10049098.3889; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13264554.0123; val_optim_loss: 13264554.0123
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9294; val_auprc_score: 0.9882; val_best_acc_score: 0.9347; val_best_f1_score: 0.9638; train_kl_reg_loss: 1589190998.8160; train_edge_recon_loss: 3072637.6758; train_gene_expr_recon_loss: 10463391.1276; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 1602727126.0957; train_optim_loss: 1602727126.0957; val_kl_reg_loss: 32886.5392; val_edge_recon_loss: 3182734.0401; val_gene_expr_recon_loss: 11083475.6358; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 14299096.2006; val_optim_loss: 14299096.2006
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9418; val_auprc_score: 0.9905; val_best_acc_score: 0.9411; val_best_f1_score: 0.9673; train_kl_reg_loss: 2071577.8116; train_edge_recon_loss: 3042637.2464; train_gene_expr_recon_loss: 10434848.6401; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 15549063.6034; train_optim_loss: 15549063.6034; val_kl_reg_loss: 40456.1274; val_edge_recon_loss: 3148878.8333; val_gene_expr_recon_loss: 10159945.5185; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13349280.4877; val_optim_loss: 13349280.4877
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9421; val_auprc_score: 0.9906; val_best_acc_score: 0.9409; val_best_f1_score: 0.9672; train_kl_reg_loss: 42270.7877; train_edge_recon_loss: 3027759.4969; train_gene_expr_recon_loss: 10050341.3581; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 13120371.6422; train_optim_loss: 13120371.6422; val_kl_reg_loss: 41633.8372; val_edge_recon_loss: 3174549.2446; val_gene_expr_recon_loss: 9993967.7130; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13210150.8179; val_optim_loss: 13210150.8179
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9432; val_auprc_score: 0.9908; val_best_acc_score: 0.9416; val_best_f1_score: 0.9675; train_kl_reg_loss: 42653.7439; train_edge_recon_loss: 3048630.3716; train_gene_expr_recon_loss: 9936773.1914; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 13028057.3149; train_optim_loss: 13028057.3149; val_kl_reg_loss: 45194.5686; val_edge_recon_loss: 3175258.0810; val_gene_expr_recon_loss: 9939164.9383; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13159617.5463; val_optim_loss: 13159617.5463
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9452; val_auprc_score: 0.9910; val_best_acc_score: 0.9433; val_best_f1_score: 0.9684; train_kl_reg_loss: 44490.5586; train_edge_recon_loss: 3031324.6405; train_gene_expr_recon_loss: 9879793.8889; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 12955609.0923; train_optim_loss: 12955609.0923; val_kl_reg_loss: 44682.1071; val_edge_recon_loss: 3179998.3465; val_gene_expr_recon_loss: 9902789.3272; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13127469.7932; val_optim_loss: 13127469.7932
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9423; val_auprc_score: 0.9906; val_best_acc_score: 0.9401; val_best_f1_score: 0.9667; train_kl_reg_loss: 19994911664254.9375; train_edge_recon_loss: 3088482.3283; train_gene_expr_recon_loss: 11562033.1365; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 19994926310292.7266; train_optim_loss: 19994926310292.7266; val_kl_reg_loss: 44142.0598; val_edge_recon_loss: 3206734.5887; val_gene_expr_recon_loss: 10381538.7377; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 13632415.3611; val_optim_loss: 13632415.3611
