[True, False, True]
Run timestamp: 06102023_193136_25.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '5', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '50000000.0', '--lambda_gene_expr_recon', '30000.0', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_25']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8872; val_auprc_score: 0.9808; val_best_acc_score: 0.9137; val_best_f1_score: 0.9526; train_kl_reg_loss: 29963.2813; train_edge_recon_loss: 6374522.8047; train_gene_expr_recon_loss: 26085887.8319; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 32490373.8998; train_optim_loss: 32490373.8998; val_kl_reg_loss: 32298.8276; val_edge_recon_loss: 6587631.3889; val_gene_expr_recon_loss: 22989489.0556; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 29609419.2778; val_optim_loss: 29609419.2778
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.9013; val_auprc_score: 0.9837; val_best_acc_score: 0.9205; val_best_f1_score: 0.9563; train_kl_reg_loss: 36080.5205; train_edge_recon_loss: 6182693.7335; train_gene_expr_recon_loss: 21967197.3654; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 28185971.6254; train_optim_loss: 28185971.6254; val_kl_reg_loss: 40795.1274; val_edge_recon_loss: 6382540.8102; val_gene_expr_recon_loss: 21404211.8272; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 27827547.7284; val_optim_loss: 27827547.7284
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9073; val_auprc_score: 0.9844; val_best_acc_score: 0.9232; val_best_f1_score: 0.9576; train_kl_reg_loss: 43677.3372; train_edge_recon_loss: 6164735.5837; train_gene_expr_recon_loss: 21078974.2271; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 27287387.1341; train_optim_loss: 27287387.1341; val_kl_reg_loss: 46260.3523; val_edge_recon_loss: 6487418.6790; val_gene_expr_recon_loss: 20956010.9938; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 27489690.0432; val_optim_loss: 27489690.0432
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9101; val_auprc_score: 0.9849; val_best_acc_score: 0.9239; val_best_f1_score: 0.9578; train_kl_reg_loss: 48338.3710; train_edge_recon_loss: 6156960.1992; train_gene_expr_recon_loss: 20735159.8559; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 26940458.4110; train_optim_loss: 26940458.4110; val_kl_reg_loss: 49295.9334; val_edge_recon_loss: 6473534.7284; val_gene_expr_recon_loss: 20692539.2716; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 27215369.8951; val_optim_loss: 27215369.8951
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9122; val_auprc_score: 0.9852; val_best_acc_score: 0.9254; val_best_f1_score: 0.9588; train_kl_reg_loss: 52882.0759; train_edge_recon_loss: 6138949.5299; train_gene_expr_recon_loss: 20564719.3386; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 26756550.9475; train_optim_loss: 26756550.9475; val_kl_reg_loss: 57458.6944; val_edge_recon_loss: 6449413.8356; val_gene_expr_recon_loss: 20618640.0988; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 27125512.6296; val_optim_loss: 27125512.6296
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9138; val_auprc_score: 0.9856; val_best_acc_score: 0.9250; val_best_f1_score: 0.9584; train_kl_reg_loss: 55021.4746; train_edge_recon_loss: 6157971.7989; train_gene_expr_recon_loss: 20974736.6388; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 27187729.9177; train_optim_loss: 27187729.9177; val_kl_reg_loss: 60454.4397; val_edge_recon_loss: 6490570.5710; val_gene_expr_recon_loss: 20482850.3333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 27033875.3765; val_optim_loss: 27033875.3765
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9165; val_auprc_score: 0.9862; val_best_acc_score: 0.9282; val_best_f1_score: 0.9603; train_kl_reg_loss: 63947.2871; train_edge_recon_loss: 6132331.0383; train_gene_expr_recon_loss: 20356213.1328; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 26552491.4449; train_optim_loss: 26552491.4449; val_kl_reg_loss: 65405.5367; val_edge_recon_loss: 6409282.7600; val_gene_expr_recon_loss: 20379843.9630; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26854532.2901; val_optim_loss: 26854532.2901
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9201; val_auprc_score: 0.9870; val_best_acc_score: 0.9296; val_best_f1_score: 0.9610; train_kl_reg_loss: 1999599.5982; train_edge_recon_loss: 6153739.4127; train_gene_expr_recon_loss: 20348979.9341; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 28502318.9599; train_optim_loss: 28502318.9599; val_kl_reg_loss: 2824385720.6988; val_edge_recon_loss: 6387986.5602; val_gene_expr_recon_loss: 20372622.3704; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2851146310.0309; val_optim_loss: 2851146310.0309
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9220; val_auprc_score: 0.9872; val_best_acc_score: 0.9303; val_best_f1_score: 0.9614; train_kl_reg_loss: 573417655.0136; train_edge_recon_loss: 6141937.7130; train_gene_expr_recon_loss: 20259449.4964; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 599819057.0148; train_optim_loss: 599819057.0148; val_kl_reg_loss: 70471.3654; val_edge_recon_loss: 6371645.0648; val_gene_expr_recon_loss: 20294047.5802; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26736163.9753; val_optim_loss: 26736163.9753
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9236; val_auprc_score: 0.9873; val_best_acc_score: 0.9309; val_best_f1_score: 0.9617; train_kl_reg_loss: 15524934321732075520.0000; train_edge_recon_loss: 6151052.8287; train_gene_expr_recon_loss: 20264852.3630; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 15524934321758474240.0000; train_optim_loss: 15524934321758474240.0000; val_kl_reg_loss: 182385.2937; val_edge_recon_loss: 6420592.1358; val_gene_expr_recon_loss: 20308073.1667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26911050.5679; val_optim_loss: 26911050.5679
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9253; val_auprc_score: 0.9877; val_best_acc_score: 0.9312; val_best_f1_score: 0.9620; train_kl_reg_loss: 82811.1906; train_edge_recon_loss: 6149981.7436; train_gene_expr_recon_loss: 20190542.2834; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 26423335.2226; train_optim_loss: 26423335.2226; val_kl_reg_loss: 75390.5855; val_edge_recon_loss: 6417947.2346; val_gene_expr_recon_loss: 20222183.9074; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 26715521.7469; val_optim_loss: 26715521.7469
