[True, False, True]
Run timestamp: 06102023_193137_22.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '30', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.0', '--lambda_gene_expr_recon', '3000.0', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_22']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 63, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 63, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.9239; val_auprc_score: 0.9875; val_best_acc_score: 0.9324; val_best_f1_score: 0.9626; train_kl_reg_loss: 10909.6665; train_edge_recon_loss: 628830.6415; train_gene_expr_recon_loss: 2595542.3219; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3235282.6273; train_optim_loss: 3235282.6273; val_kl_reg_loss: 12869.5376; val_edge_recon_loss: 639719.5287; val_gene_expr_recon_loss: 2256099.2060; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2908688.2662; val_optim_loss: 2908688.2662
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.9337; val_auprc_score: 0.9890; val_best_acc_score: 0.9360; val_best_f1_score: 0.9644; train_kl_reg_loss: 14145.5773; train_edge_recon_loss: 612405.8938; train_gene_expr_recon_loss: 2148699.7809; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2775251.2503; train_optim_loss: 2775251.2503; val_kl_reg_loss: 15021.8146; val_edge_recon_loss: 642116.9891; val_gene_expr_recon_loss: 2083030.4753; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2740169.2755; val_optim_loss: 2740169.2755
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9367; val_auprc_score: 0.9899; val_best_acc_score: 0.9376; val_best_f1_score: 0.9653; train_kl_reg_loss: 15474.3338; train_edge_recon_loss: 613587.9903; train_gene_expr_recon_loss: 2055884.1882; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2684946.5118; train_optim_loss: 2684946.5118; val_kl_reg_loss: 15845.4129; val_edge_recon_loss: 636122.1445; val_gene_expr_recon_loss: 2036849.6998; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2688817.2554; val_optim_loss: 2688817.2554
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9378; val_auprc_score: 0.9899; val_best_acc_score: 0.9390; val_best_f1_score: 0.9661; train_kl_reg_loss: 16152.1216; train_edge_recon_loss: 611669.9383; train_gene_expr_recon_loss: 2020867.2531; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2648689.3156; train_optim_loss: 2648689.3156; val_kl_reg_loss: 16588.2752; val_edge_recon_loss: 638119.5648; val_gene_expr_recon_loss: 2014228.2068; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2668936.0502; val_optim_loss: 2668936.0502
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9422; val_auprc_score: 0.9906; val_best_acc_score: 0.9409; val_best_f1_score: 0.9671; train_kl_reg_loss: 16814.6516; train_edge_recon_loss: 610523.8703; train_gene_expr_recon_loss: 2000369.8735; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2627708.3943; train_optim_loss: 2627708.3943; val_kl_reg_loss: 16995.4108; val_edge_recon_loss: 638147.4197; val_gene_expr_recon_loss: 1997106.5073; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2652249.3449; val_optim_loss: 2652249.3449
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9421; val_auprc_score: 0.9905; val_best_acc_score: 0.9412; val_best_f1_score: 0.9673; train_kl_reg_loss: 17311.2858; train_edge_recon_loss: 611161.6103; train_gene_expr_recon_loss: 1983656.3138; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2612129.2087; train_optim_loss: 2612129.2087; val_kl_reg_loss: 17683.2365; val_edge_recon_loss: 640838.2971; val_gene_expr_recon_loss: 1986615.8299; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2645137.3588; val_optim_loss: 2645137.3588
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9450; val_auprc_score: 0.9911; val_best_acc_score: 0.9419; val_best_f1_score: 0.9677; train_kl_reg_loss: 17757.5252; train_edge_recon_loss: 610316.8103; train_gene_expr_recon_loss: 1971245.4228; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2599319.7586; train_optim_loss: 2599319.7586; val_kl_reg_loss: 17745.5186; val_edge_recon_loss: 633135.2467; val_gene_expr_recon_loss: 1969116.4552; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2619997.2245; val_optim_loss: 2619997.2245
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9435; val_auprc_score: 0.9910; val_best_acc_score: 0.9416; val_best_f1_score: 0.9676; train_kl_reg_loss: 17942.5546; train_edge_recon_loss: 614679.7152; train_gene_expr_recon_loss: 2046024.4330; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2678646.7006; train_optim_loss: 2678646.7006; val_kl_reg_loss: 18025.9517; val_edge_recon_loss: 632158.7729; val_gene_expr_recon_loss: 2074417.0910; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2724601.8140; val_optim_loss: 2724601.8140
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9473; val_auprc_score: 0.9915; val_best_acc_score: 0.9439; val_best_f1_score: 0.9688; train_kl_reg_loss: 18673.4560; train_edge_recon_loss: 611584.8579; train_gene_expr_recon_loss: 1999144.0414; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2629402.3561; train_optim_loss: 2629402.3561; val_kl_reg_loss: 18774.5717; val_edge_recon_loss: 632864.7196; val_gene_expr_recon_loss: 1970104.7292; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2621744.0278; val_optim_loss: 2621744.0278
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9467; val_auprc_score: 0.9913; val_best_acc_score: 0.9441; val_best_f1_score: 0.9689; train_kl_reg_loss: 18968.1165; train_edge_recon_loss: 612826.4792; train_gene_expr_recon_loss: 1956117.0533; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2587911.6484; train_optim_loss: 2587911.6484; val_kl_reg_loss: 19144.5020; val_edge_recon_loss: 633869.9820; val_gene_expr_recon_loss: 1954581.0324; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2607595.5177; val_optim_loss: 2607595.5177
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9481; val_auprc_score: 0.9917; val_best_acc_score: 0.9438; val_best_f1_score: 0.9687; train_kl_reg_loss: 18938.1356; train_edge_recon_loss: 609818.9002; train_gene_expr_recon_loss: 1943936.6271; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2572693.6632; train_optim_loss: 2572693.6632; val_kl_reg_loss: 19321.1376; val_edge_recon_loss: 631846.1659; val_gene_expr_recon_loss: 1958362.2596; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2609529.5625; val_optim_loss: 2609529.5625
